,displayName,position,snaps,zone,zone-deep,zone-over,man,man-over,blitz,games played,Team,zone %,zone-deep %,zone-over %,man %,man-over %,blitz %,zone-total,man-total
2543830,Tre Boston,FS,447,71,331,18,6,7,14,14,ARI,15.9,74.0,4.0,1.3,1.6,3.1,420,13
2543850,Ricardo Allen,SS,124,22,91,7,2,1,1,3,ATL,17.7,73.4,5.6,1.6,0.8,0.8,120,3
2543851,Phillip Gaines,CB,19,2,0,0,16,1,0,2,CLE,10.5,0.0,0.0,84.2,5.3,0.0,2,17
2543851,Phillip Gaines,CB,176,18,30,32,60,34,2,7,BUF,10.2,17.0,18.2,34.1,19.3,1.1,80,94
2543855,Bene' Benwikere,CB,250,35,52,63,62,33,5,11,ARI,14.0,20.8,25.2,24.8,13.2,2.0,150,95
2543855,Bene' Benwikere,CB,20,2,1,5,5,7,0,1,OAK,10.0,5.0,25.0,25.0,35.0,0.0,8,12
2543869,Devon Kennard,OLB,435,76,0,107,7,7,238,15,DET,17.5,0.0,24.6,1.6,1.6,54.7,183,14
2543872,Nevin Lawson,CB,446,69,56,84,135,100,2,15,DET,15.5,12.6,18.8,30.3,22.4,0.4,209,235
2543874,Andre Hal,FS,159,9,129,12,1,5,3,8,HOU,5.7,81.1,7.5,0.6,3.1,1.9,150,6
2549896,Marquis Flowers,OLB,3,2,0,1,0,0,0,1,DET,66.7,0.0,33.3,0.0,0.0,0.0,3,0
2550164,T.J. Carrie,CB,524,119,101,72,196,30,6,16,CLE,22.7,19.3,13.7,37.4,5.7,1.1,292,226
2550257,Daniel Sorensen,SS,185,30,62,43,10,26,14,7,KC,16.2,33.5,23.2,5.4,14.1,7.6,135,36
2550262,Joe Thomas,ILB,36,2,0,25,0,3,6,6,DAL,5.6,0.0,69.4,0.0,8.3,16.7,27,3
2550365,Kenny Ladler,S,18,2,12,3,0,0,1,2,NYG,11.1,66.7,16.7,0.0,0.0,5.6,17,0
2550541,Shaquil Barrett,OLB,135,13,0,25,8,8,81,12,DEN,9.6,0.0,18.5,5.9,5.9,60.0,38,16
2550565,Adarius Taylor,MLB,282,85,13,128,12,9,35,15,TB,30.1,4.6,45.4,4.3,3.2,12.4,226,21
2550572,Christian Jones,ILB,297,67,3,157,8,9,53,16,DET,22.6,1.0,52.9,2.7,3.0,17.8,227,17
2550605,Marcus Williams,CB,10,2,3,3,2,0,0,2,TB,20.0,30.0,30.0,20.0,0.0,0.0,8,2
2550605,Marcus Williams,CB,10,0,3,4,2,1,0,1,CHI,0.0,30.0,40.0,20.0,10.0,0.0,7,3
2550613,Malcolm Butler,CB,462,35,75,76,186,89,1,16,TEN,7.6,16.2,16.5,40.3,19.3,0.2,186,275
2550647,Kasim Edebali,OLB,2,0,0,0,0,0,2,1,CIN,0.0,0.0,0.0,0.0,0.0,100.0,0,0
2550654,K'Waun Williams,CB,330,74,22,97,75,45,17,13,SF,22.4,6.7,29.4,22.7,13.6,5.2,193,120
2550659,Tyler Patmon,CB,128,20,8,53,21,19,7,7,JAX,15.6,6.2,41.4,16.4,14.8,5.5,81,40
2550767,C.J. Goodwin,CB,2,0,0,0,1,1,0,1,DAL,0.0,0.0,0.0,50.0,50.0,0.0,0,2
2550842,Adrian Phillips,SS,397,65,96,219,7,2,8,15,LAC,16.4,24.2,55.2,1.8,0.5,2.0,380,9
2550930,Todd Davis,ILB,396,62,6,258,8,18,44,15,DEN,15.7,1.5,65.2,2.0,4.5,11.1,326,26
2552255,Eric Rowe,CB,83,10,9,18,28,18,0,4,NE,12.0,10.8,21.7,33.7,21.7,0.0,37,46
2552259,Josh Shaw,CB,27,4,13,8,1,1,0,4,TB,14.8,48.1,29.6,3.7,3.7,0.0,25,2
2552259,Josh Shaw,CB,24,3,1,5,3,12,0,3,KC,12.5,4.2,20.8,12.5,50.0,0.0,9,15
2552261,Kevin Johnson,CB,40,9,14,15,1,1,0,1,HOU,22.5,35.0,37.5,2.5,2.5,0.0,38,2
2552262,Quandre Diggs,SS,494,98,282,58,22,27,7,16,DET,19.8,57.1,11.7,4.5,5.5,1.4,438,49
2552265,Steven Nelson,CB,603,47,79,112,253,112,0,15,KC,7.8,13.1,18.6,42.0,18.6,0.0,238,365
2552266,Anthony Chickillo,OLB,165,11,0,44,3,4,103,16,PIT,6.7,0.0,26.7,1.8,2.4,62.4,55,7
2552273,Markus Golden,OLB,1,0,0,0,0,0,1,1,ARI,0.0,0.0,0.0,0.0,0.0,100.0,0,0
2552276,Preston Smith,OLB,437,43,1,77,7,5,304,16,WAS,9.8,0.2,17.6,1.6,1.1,69.6,121,12
2552279,Za'Darius Smith,OLB,426,30,1,68,3,3,321,16,BAL,7.0,0.2,16.0,0.7,0.7,75.4,99,6
2552289,Bud Dupree,OLB,481,41,0,87,5,11,337,16,PIT,8.5,0.0,18.1,1.0,2.3,70.1,128,16
2552296,Kyle Emanuel,OLB,83,17,1,44,1,9,11,13,LAC,20.5,1.2,53.0,1.2,10.8,13.3,62,10
2552307,Bryce Hager,ILB,34,7,0,22,0,1,4,6,LA,20.6,0.0,64.7,0.0,2.9,11.8,29,1
2552310,Denzel Perryman,ILB,161,14,1,136,0,4,6,8,LAC,8.7,0.6,84.5,0.0,2.5,3.7,151,4
2552312,Eric Kendricks,MLB,395,37,9,291,1,8,49,13,MIN,9.4,2.3,73.7,0.3,2.0,12.4,337,9
2552313,Hayes Pullard,MLB,38,1,1,34,0,0,2,6,LAC,2.6,2.6,89.5,0.0,0.0,5.3,36,0
2552315,Jordan Hicks,MLB,430,156,25,183,3,4,59,12,PHI,36.3,5.8,42.6,0.7,0.9,13.7,364,7
2552317,Mike Hull,MLB,17,4,0,8,0,1,4,2,MIA,23.5,0.0,47.1,0.0,5.9,23.5,12,1
2552320,Ramik Wilson,ILB,79,11,0,56,7,1,4,9,LA,13.9,0.0,70.9,8.9,1.3,5.1,67,8
2552321,Stephone Anthony,MLB,5,3,0,1,0,0,1,5,MIA,60.0,0.0,20.0,0.0,0.0,20.0,4,0
2552385,Adrian Amos,FS,601,103,439,39,11,5,4,16,CHI,17.1,73.0,6.5,1.8,0.8,0.7,581,16
2552386,Clayton Geathers,FS,367,80,183,68,14,14,8,12,IND,21.8,49.9,18.5,3.8,3.8,2.2,331,28
2552389,Damarious Randall,CB,587,119,383,29,38,8,10,15,CLE,20.3,65.2,4.9,6.5,1.4,1.7,531,46
2552391,Jaquiski Tartt,FS,199,45,85,26,20,9,14,7,SF,22.6,42.7,13.1,10.1,4.5,7.0,156,29
2552392,Jordan Richards,SS,241,64,103,31,23,14,6,15,ATL,26.6,42.7,12.9,9.5,5.8,2.5,198,37
2552427,Tony Lippett,CB,21,1,10,3,5,2,0,2,NYG,4.8,47.6,14.3,23.8,9.5,0.0,14,7
2552434,Bobby McCain,CB,394,67,38,112,96,78,3,14,MIA,17.0,9.6,28.4,24.4,19.8,0.8,217,174
2552447,Shaq Thompson,OLB,309,73,10,142,11,28,45,14,CAR,23.6,3.2,46.0,3.6,9.1,14.6,225,39
2552448,Trae Waynes,CB,328,50,57,116,49,54,2,13,MIN,15.2,17.4,35.4,14.9,16.5,0.6,223,103
2552454,Landon Collins,SS,411,78,134,123,29,28,19,12,NYG,19.0,32.6,29.9,7.1,6.8,4.6,335,57
2552484,P.J. Williams,CB,440,84,24,157,74,92,9,15,NO,19.1,5.5,35.7,16.8,20.9,2.0,265,166
2552488,Marcus Peters,CB,477,48,170,127,80,51,1,16,LA,10.1,35.6,26.6,16.8,10.7,0.2,345,131
2552490,Benardrick McKinney,ILB,479,83,26,281,11,13,65,16,HOU,17.3,5.4,58.7,2.3,2.7,13.6,390,24
2552568,Byron Jones,CB,545,38,47,86,274,99,1,16,DAL,7.0,8.6,15.8,50.3,18.2,0.2,171,373
2552592,Kwon Alexander,MLB,220,51,6,119,4,10,30,6,TB,23.2,2.7,54.1,1.8,4.5,13.6,176,14
2552605,Ibraheim Campbell,FS,59,7,40,7,3,1,1,3,GB,11.9,67.8,11.9,5.1,1.7,1.7,54,4
2552605,Ibraheim Campbell,FS,1,0,1,0,0,0,0,1,DAL,0.0,100.0,0.0,0.0,0.0,0.0,1,0
2552684,Mark Nzeocha,MLB,49,20,6,19,1,0,3,8,SF,40.8,12.2,38.8,2.0,0.0,6.1,45,1
2552686,Damien Wilson,OLB,119,25,6,43,12,13,20,16,DAL,21.0,5.0,36.1,10.1,10.9,16.8,74,25
2552689,Ronald Darby,CB,345,59,133,47,97,8,1,9,PHI,17.1,38.6,13.6,28.1,2.3,0.3,239,105
2552697,Jermaine Whitehead,FS,3,1,2,0,0,0,0,1,CLE,33.3,66.7,0.0,0.0,0.0,0.0,3,0
2552697,Jermaine Whitehead,FS,130,30,11,55,9,10,15,7,GB,23.1,8.5,42.3,6.9,7.7,11.5,96,19
2552730,Brian Peters,ILB,29,8,4,16,0,0,1,5,HOU,27.6,13.8,55.2,0.0,0.0,3.4,28,0
2553353,Darryl Roberts,CB,403,46,207,88,35,27,0,14,NYJ,11.4,51.4,21.8,8.7,6.7,0.0,341,62
2553431,Dante Fowler Jr.,OLB,1,0,0,1,0,0,0,1,JAX,0.0,0.0,100.0,0.0,0.0,0.0,1,0
2553441,David Mayo,MLB,59,19,3,23,2,2,10,7,CAR,32.2,5.1,39.0,3.4,3.4,16.9,45,4
2553442,D.J. Alexander,OLB,1,0,0,0,1,0,0,1,PHI,0.0,0.0,0.0,100.0,0.0,0.0,0,1
2553456,Akeem King,CB,81,7,9,26,27,9,3,8,SEA,8.6,11.1,32.1,33.3,11.1,3.7,42,36
2553500,Bryce Callahan,CB,415,47,35,131,59,132,11,13,CHI,11.3,8.4,31.6,14.2,31.8,2.7,213,191
2553536,Troy Hill,CB,216,43,64,68,23,18,0,12,LA,19.9,29.6,31.5,10.6,8.3,0.0,175,41
2553637,Justin Coleman,CB,404,57,19,176,44,94,14,15,SEA,14.1,4.7,43.6,10.9,23.3,3.5,252,138
2553655,Anthony Harris,FS,265,16,224,14,6,2,3,11,MIN,6.0,84.5,5.3,2.3,0.8,1.1,254,8
2553657,Neville Hewitt,OLB,141,54,10,40,8,9,20,8,NYJ,38.3,7.1,28.4,5.7,6.4,14.2,104,17
2553687,Zach Vigil,MLB,16,5,0,11,0,0,0,4,WAS,31.2,0.0,68.8,0.0,0.0,0.0,16,0
2553710,Deshazor Everett,SS,43,7,20,10,3,1,2,11,WAS,16.3,46.5,23.3,7.0,2.3,4.7,37,4
2553719,Josh Keyes,OLB,16,2,1,11,1,0,1,1,HOU,12.5,6.2,68.8,6.2,0.0,6.2,14,1
2553722,Matt Longacre,OLB,124,17,0,37,0,2,68,13,LA,13.7,0.0,29.8,0.0,1.6,54.8,54,2
2553774,Cameron Lynch,OLB,5,2,0,3,0,0,0,4,TB,40.0,0.0,60.0,0.0,0.0,0.0,5,0
2553790,DeVante Bausby,CB,87,16,31,11,21,8,0,4,PHI,18.4,35.6,12.6,24.1,9.2,0.0,58,29
2553796,Quinton Dunbar,CB,212,20,39,51,77,25,0,7,WAS,9.4,18.4,24.1,36.3,11.8,0.0,110,102
2553815,Justin March,OLB,2,1,0,0,0,0,1,1,DAL,50.0,0.0,0.0,0.0,0.0,50.0,1,0
2553817,Corey Moore,SS,28,6,20,1,1,0,0,6,IND,21.4,71.4,3.6,3.6,0.0,0.0,27,1
2553822,Curtis Riley,FS,540,41,474,12,3,0,10,16,NYG,7.6,87.8,2.2,0.6,0.0,1.9,527,3
2553877,Nick Dzubnar,ILB,1,1,0,0,0,0,0,1,LAC,100.0,0.0,0.0,0.0,0.0,0.0,1,0
2555155,Deon Bush,SS,94,10,77,7,0,0,0,7,CHI,10.6,81.9,7.4,0.0,0.0,0.0,94,0
2555156,Jayron Kearse,SS,81,4,6,37,6,27,1,13,MIN,4.9,7.4,45.7,7.4,33.3,1.2,47,33
2555158,Kevin Byard,FS,537,81,323,65,23,25,20,16,TEN,15.1,60.1,12.1,4.3,4.7,3.7,469,48
2555160,Antonio Morrison,ILB,104,29,1,52,0,4,18,16,GB,27.9,1.0,50.0,0.0,3.8,17.3,82,4
2555161,Blake Martinez,ILB,532,159,14,275,4,1,79,16,GB,29.9,2.6,51.7,0.8,0.2,14.8,448,5
2555162,Deion Jones,MLB,203,18,3,159,4,4,15,6,ATL,8.9,1.5,78.3,2.0,2.0,7.4,180,8
2555166,Joe Schobert,MLB,490,216,85,66,12,2,109,13,CLE,44.1,17.3,13.5,2.4,0.4,22.2,367,14
2555168,Kentrell Brothers,MLB,3,0,1,2,0,0,0,2,MIN,0.0,33.3,66.7,0.0,0.0,0.0,3,0
2555169,Reggie Ragland,ILB,213,17,3,172,1,2,18,15,KC,8.0,1.4,80.8,0.5,0.9,8.5,192,3
2555171,Tyler Matakevich,ILB,26,5,0,13,2,3,3,3,PIT,19.2,0.0,50.0,7.7,11.5,11.5,18,5
2555173,Eric Murray,FS,366,53,231,34,21,16,11,14,KC,14.5,63.1,9.3,5.7,4.4,3.0,318,37
2555175,James Bradberry,CB,538,70,186,145,91,45,1,16,CAR,13.0,34.6,27.0,16.9,8.4,0.2,401,136
2555177,Mackensie Alexander,CB,295,39,9,124,38,77,8,15,MIN,13.2,3.1,42.0,12.9,26.1,2.7,172,115
2555178,Maurice Canady,CB,6,0,2,1,2,1,0,1,BAL,0.0,33.3,16.7,33.3,16.7,0.0,3,3
2555255,De'Vondre Campbell,OLB,493,82,14,247,23,43,84,16,ATL,16.6,2.8,50.1,4.7,8.7,17.0,343,66
2555256,Jordan Jenkins,OLB,325,43,0,47,7,8,220,16,NYJ,13.2,0.0,14.5,2.2,2.5,67.7,90,15
2555270,Carl Nassib,OLB,1,0,0,0,0,0,1,1,TB,0.0,0.0,0.0,0.0,0.0,100.0,0,0
2555277,Eli Apple,CB,154,18,30,28,54,24,0,5,NYG,11.7,19.5,18.2,35.1,15.6,0.0,76,78
2555277,Eli Apple,CB,351,32,72,73,112,62,0,10,NO,9.1,20.5,20.8,31.9,17.7,0.0,177,174
2555280,Jalen Ramsey,CB,508,50,141,93,159,64,1,16,JAX,9.8,27.8,18.3,31.3,12.6,0.2,284,223
2555285,Leonard Floyd,OLB,473,33,1,118,6,12,303,16,CHI,7.0,0.2,24.9,1.3,2.5,64.1,152,18
2555288,Nick Kwiatkoski,ILB,64,9,3,42,1,1,8,9,CHI,14.1,4.7,65.6,1.6,1.6,12.5,54,2
2555294,Shilique Calhoun,LB,62,5,0,16,1,1,39,7,OAK,8.1,0.0,25.8,1.6,1.6,62.9,21,2
2555299,Vernon Hargreaves III,CB,38,1,4,11,6,16,0,1,TB,2.6,10.5,28.9,15.8,42.1,0.0,16,22
2555307,Devante Bond,OLB,75,26,3,26,5,2,13,10,TB,34.7,4.0,34.7,6.7,2.7,17.3,55,7
2555310,Jaylon Smith,MLB,516,40,9,381,2,13,71,16,DAL,7.8,1.7,73.8,0.4,2.5,13.8,430,15
2555320,Aaron Wallace,OLB,2,0,0,0,0,0,2,1,TEN,0.0,0.0,0.0,0.0,0.0,100.0,0,0
2555322,Darron Lee,ILB,416,77,5,245,21,25,43,12,NYJ,18.5,1.2,58.9,5.0,6.0,10.3,327,46
2555329,Myles Jack,OLB,511,68,10,362,7,11,53,16,JAX,13.3,2.0,70.8,1.4,2.2,10.4,440,18
2555339,Kamalei Correa,ILB,164,19,1,36,3,8,97,13,TEN,11.6,0.6,22.0,1.8,4.9,59.1,56,11
2555340,Kyler Fackrell,OLB,312,72,0,60,13,10,157,16,GB,23.1,0.0,19.2,4.2,3.2,50.3,132,23
2555342,Karl Joseph,SS,228,43,139,18,13,4,11,12,OAK,18.9,61.0,7.9,5.7,1.8,4.8,200,17
2555344,Artie Burns,CB,163,14,42,35,56,15,1,8,PIT,8.6,25.8,21.5,34.4,9.2,0.6,91,71
2555349,Kendall Fuller,CB,569,106,32,195,96,132,8,14,KC,18.6,5.6,34.3,16.9,23.2,1.4,333,228
2555355,Clayton Fejedelem,FS,112,18,58,19,4,7,6,12,CIN,16.1,51.8,17.0,3.6,6.2,5.4,95,11
2555366,Deiondre' Hall,CB,7,3,2,2,0,0,0,4,PHI,42.9,28.6,28.6,0.0,0.0,0.0,7,0
2555378,Tavon Young,CB,370,53,23,111,69,84,30,15,BAL,14.3,6.2,30.0,18.6,22.7,8.1,187,153
2555380,Cyrus Jones,CB,2,0,2,0,0,0,0,2,BAL,0.0,100.0,0.0,0.0,0.0,0.0,2,0
2555380,Cyrus Jones,CB,6,1,0,4,1,0,0,2,NE,16.7,0.0,66.7,16.7,0.0,0.0,5,1
2555381,DeAndre Houston-Carson,FS,34,9,14,9,0,0,2,8,CHI,26.5,41.2,26.5,0.0,0.0,5.9,32,0
2555383,Jalen Mills,CB,286,52,107,48,72,5,2,8,PHI,18.2,37.4,16.8,25.2,1.7,0.7,207,77
2555386,Sean Davis,SS,538,70,425,27,6,6,4,15,PIT,13.0,79.0,5.0,1.1,1.1,0.7,522,12
2555394,Daryl Worley,CB,220,28,48,52,52,40,0,10,OAK,12.7,21.8,23.6,23.6,18.2,0.0,128,92
2555505,Matt Judon,OLB,398,43,0,89,9,11,246,16,BAL,10.8,0.0,22.4,2.3,2.8,61.8,132,20
2555522,B.J. Goodson,ILB,218,31,5,147,0,5,30,15,NYG,14.2,2.3,67.4,0.0,2.3,13.8,183,5
2555528,Nick Vigil,OLB,373,53,6,213,18,41,42,11,CIN,14.2,1.6,57.1,4.8,11.0,11.3,272,59
2555530,Vonn Bell,FS,454,104,179,64,52,27,28,16,NO,22.9,39.4,14.1,11.5,5.9,6.2,347,79
2555531,Anthony Brown,CB,397,60,24,156,85,61,11,15,DAL,15.1,6.0,39.3,21.4,15.4,2.8,240,146
2555536,Kavon Frazier,SS,89,20,54,11,3,0,1,6,DAL,22.5,60.7,12.4,3.4,0.0,1.1,85,3
2555539,Xavien Howard,CB,404,51,84,114,106,49,0,12,MIA,12.6,20.8,28.2,26.2,12.1,0.0,249,155
2555540,Derrick Kindred,SS,239,67,93,15,42,2,20,16,CLE,28.0,38.9,6.3,17.6,0.8,8.4,175,44
2555542,Jordan Lucas,FS,156,19,84,24,12,16,1,7,KC,12.2,53.8,15.4,7.7,10.3,0.6,127,28
2555543,Keanu Neal,FS,22,6,11,2,2,0,1,1,ATL,27.3,50.0,9.1,9.1,0.0,4.5,19,2
2555545,Will Redmond,S,4,0,0,1,0,0,3,1,GB,0.0,0.0,25.0,0.0,0.0,75.0,1,0
2555546,Rashard Robinson,CB,48,5,6,8,21,5,3,4,NYJ,10.4,12.5,16.7,43.8,10.4,6.2,19,26
2555547,KeiVarae Russell,CB,78,6,16,20,22,14,0,6,CIN,7.7,20.5,25.6,28.2,17.9,0.0,42,36
2555550,Justin Simmons,SS,527,119,240,79,34,35,20,15,DEN,22.6,45.5,15.0,6.5,6.6,3.8,438,69
2555551,LeShaun Sims,CB,111,12,25,25,24,19,6,12,TEN,10.8,22.5,22.5,21.6,17.1,5.4,62,43
2555552,Ryan Smith,CB,247,33,95,36,61,22,0,12,TB,13.4,38.5,14.6,24.7,8.9,0.0,164,83
2555568,Erik Harris,SS,211,30,130,29,4,7,11,15,OAK,14.2,61.6,13.7,1.9,3.3,5.2,189,11
2556119,Elandon Roberts,MLB,210,31,0,133,5,4,37,16,NE,14.8,0.0,63.3,2.4,1.9,17.6,164,9
2556148,Jatavis Brown,OLB,354,29,8,278,1,11,27,14,LAC,8.2,2.3,78.5,0.3,3.1,7.6,315,12
2556277,Marqui Christian,SS,248,14,42,125,12,41,14,16,LA,5.6,16.9,50.4,4.8,16.5,5.6,181,53
2556278,Will Parks,FS,292,36,115,76,18,22,25,15,DEN,12.3,39.4,26.0,6.2,7.5,8.6,227,40
2556363,Kamu Grugier-Hill,OLB,150,47,11,72,7,4,9,16,PHI,31.3,7.3,48.0,4.7,2.7,6.0,130,11
2556367,William Jackson,CB,557,49,111,93,214,90,0,16,CIN,8.8,19.9,16.7,38.4,16.2,0.0,253,304
2556371,Brandon Williams,CB,40,5,4,15,12,4,0,2,ARI,12.5,10.0,37.5,30.0,10.0,0.0,24,16
2556374,Blake Countess,SS,36,5,28,3,0,0,0,5,LA,13.9,77.8,8.3,0.0,0.0,0.0,36,0
2556394,Chris Milton,CB,33,4,2,7,14,6,0,3,IND,12.1,6.1,21.2,42.4,18.2,0.0,13,20
2556429,Matthias Farley,SS,93,16,52,16,2,5,2,5,IND,17.2,55.9,17.2,2.2,5.4,2.2,84,7
2556443,Sharrod Neasman,SS,232,65,101,29,24,10,3,11,ATL,28.0,43.5,12.5,10.3,4.3,1.3,195,34
2556445,Brian Poole,CB,491,70,62,181,54,97,27,16,ATL,14.3,12.6,36.9,11.0,19.8,5.5,313,151
2556456,Andrew Adams,FS,204,57,104,25,8,3,7,12,TB,27.9,51.0,12.3,3.9,1.5,3.4,186,11
2556475,Briean Boddy-Calhoun,CB,393,93,89,73,102,24,12,14,CLE,23.7,22.6,18.6,26.0,6.1,3.1,255,126
2556480,Kentrell Brice,SS,334,81,189,44,7,6,7,14,GB,24.3,56.6,13.2,2.1,1.8,2.1,314,13
2556489,James Burgess,OLB,28,13,0,5,1,1,8,3,CLE,46.4,0.0,17.9,3.6,3.6,28.6,18,2
2556512,Donte' Deayon,CB,64,6,4,20,18,16,0,4,NYG,9.4,6.2,31.2,28.1,25.0,0.0,30,34
2556537,Reggie Gilbert,LB,247,39,0,37,5,5,161,16,GB,15.8,0.0,15.0,2.0,2.0,65.2,76,10
2556542,Nicholas Grigsby,LB,13,2,0,9,0,0,2,3,NE,15.4,0.0,69.2,0.0,0.0,15.4,11,0
2556550,Josh Hawkins,CB,1,1,0,0,0,0,0,1,PHI,100.0,0.0,0.0,0.0,0.0,0.0,1,0
2556550,Josh Hawkins,CB,4,0,3,1,0,0,0,1,CAR,0.0,75.0,25.0,0.0,0.0,0.0,4,0
2556559,Mike Hilton,CB,375,34,32,153,47,72,37,15,PIT,9.1,8.5,40.8,12.5,19.2,9.9,219,119
2556567,Isaiah Johnson,S,195,26,136,14,10,4,5,12,TB,13.3,69.7,7.2,5.1,2.1,2.6,176,14
2556571,Jonathan Jones,CB,332,77,19,99,62,62,13,16,NE,23.2,5.7,29.8,18.7,18.7,3.9,195,124
2556587,Cre'von LeBlanc,CB,227,50,16,60,67,33,1,7,PHI,22.0,7.0,26.4,29.5,14.5,0.4,126,100
2556587,Cre'von LeBlanc,CB,20,4,0,3,10,3,0,1,DET,20.0,0.0,15.0,50.0,15.0,0.0,7,13
2556593,Cory Littleton,ILB,506,71,7,318,11,38,61,16,LA,14.0,1.4,62.8,2.2,7.5,12.1,396,49
2556614,Cassanova McKinzy,LB,24,0,0,10,0,0,14,3,WAS,0.0,0.0,41.7,0.0,0.0,58.3,10,0
2556617,Doug Middleton,S,129,3,120,2,1,0,3,4,NYJ,2.3,93.0,1.6,0.8,0.0,2.3,125,1
2556642,Patrick Onwuasor,ILB,222,48,5,125,1,5,38,16,BAL,21.6,2.3,56.3,0.5,2.3,17.1,178,6
2556652,Lafayette Pitts,CB,46,5,9,17,9,6,0,4,BUF,10.9,19.6,37.0,19.6,13.0,0.0,31,15
2556673,Brennan Scarlett,OLB,50,10,1,25,0,1,13,7,HOU,20.0,2.0,50.0,0.0,2.0,26.0,36,1
2556711,Jarrod Wilson,SS,101,16,60,7,4,4,10,11,JAX,15.8,59.4,6.9,4.0,4.0,9.9,83,8
2556735,Ken Crawley,CB,238,22,53,61,69,30,3,9,NO,9.2,22.3,25.6,29.0,12.6,1.3,136,99
2556775,Terrance Smith,ILB,111,25,3,54,5,12,12,6,KC,22.5,2.7,48.6,4.5,10.8,10.8,82,17
2556798,Kenneth Durden,CB,3,0,3,0,0,0,0,2,TEN,0.0,100.0,0.0,0.0,0.0,0.0,3,0
2556817,Tony McRae,CB,57,6,4,14,10,22,1,5,CIN,10.5,7.0,24.6,17.5,38.6,1.8,24,32
2556828,Trevor Williams,CB,195,15,31,51,73,25,0,7,LAC,7.7,15.9,26.2,37.4,12.8,0.0,97,98
2556833,De'Vante Harris,CB,54,2,20,8,19,4,1,5,TB,3.7,37.0,14.8,35.2,7.4,1.9,30,23
2556934,Javien Elliott,CB,209,57,16,58,45,20,13,11,TB,27.3,7.7,27.8,21.5,9.6,6.2,131,65
2557837,Reuben Foster,OLB,186,53,3,98,1,1,30,6,SF,28.5,1.6,52.7,0.5,0.5,16.1,154,2
2557840,Chidobe Awuzie,CB,476,43,88,106,183,55,1,15,DAL,9.0,18.5,22.3,38.4,11.6,0.2,237,238
2557841,Tim Williams,OLB,71,8,0,10,2,0,51,7,BAL,11.3,0.0,14.1,2.8,0.0,71.8,18,2
2557853,Ryan Anderson,OLB,90,3,0,27,3,3,54,13,WAS,3.3,0.0,30.0,3.3,3.3,60.0,30,6
2557855,Jarrad Davis,MLB,500,91,10,260,5,10,124,16,DET,18.2,2.0,52.0,1.0,2.0,24.8,361,15
2557867,Tre'Davious White,CB,487,48,79,106,176,77,1,16,BUF,9.9,16.2,21.8,36.1,15.8,0.2,233,253
2557880,Josh Harvey-Clemons,ILB,144,15,4,81,5,12,27,13,WAS,10.4,2.8,56.2,3.5,8.3,18.8,100,17
2557881,Tedric Thompson,FS,370,26,337,6,0,0,1,13,SEA,7.0,91.1,1.6,0.0,0.0,0.3,369,0
2557887,Haason Reddick,ILB,393,78,6,187,12,29,81,16,ARI,19.8,1.5,47.6,3.1,7.4,20.6,271,41
2557906,Vince Biegel,LB,1,0,0,0,0,0,1,1,NO,0.0,0.0,0.0,0.0,0.0,100.0,0,0
2557920,Jourdan Lewis,CB,122,20,11,55,11,18,7,12,DAL,16.4,9.0,45.1,9.0,14.8,5.7,86,29
2557924,Jalen Reeves-Maybin,OLB,58,10,0,37,5,2,4,9,DET,17.2,0.0,63.8,8.6,3.4,6.9,47,7
2557927,Desmond King,CB,432,54,25,219,32,90,12,15,LAC,12.5,5.8,50.7,7.4,20.8,2.8,298,122
2557931,Cordrea Tankersley,CB,13,1,3,5,2,2,0,1,MIA,7.7,23.1,38.5,15.4,15.4,0.0,9,4
2557945,Justin Evans,SS,326,50,246,16,11,1,2,10,TB,15.3,75.5,4.9,3.4,0.3,0.6,312,12
2557955,Teez Tabor,CB,148,11,19,33,50,34,1,10,DET,7.4,12.8,22.3,33.8,23.0,0.7,63,84
2557958,Sidney Jones,CB,210,71,28,46,40,22,3,9,PHI,33.8,13.3,21.9,19.0,10.5,1.4,145,62
2557961,Quincy Wilson,CB,259,25,52,75,61,45,1,13,IND,9.7,20.1,29.0,23.6,17.4,0.4,152,106
2557967,Duke Riley,OLB,222,27,3,164,6,10,12,14,ATL,12.2,1.4,73.9,2.7,4.5,5.4,194,16
2557969,Matt Milano,OLB,377,60,7,236,7,16,51,13,BUF,15.9,1.9,62.6,1.9,4.2,13.5,303,23
2557972,Marquel Lee,MLB,161,28,1,106,2,11,13,16,OAK,17.4,0.6,65.8,1.2,6.8,8.1,135,13
2557979,Jamal Adams,SS,588,156,270,51,35,13,63,16,NYJ,26.5,45.9,8.7,6.0,2.2,10.7,477,48
2557980,Jabrill Peppers,FS,413,101,171,4,86,1,50,16,CLE,24.5,41.4,1.0,20.8,0.2,12.1,276,87
2557995,Marcus Maye,FS,190,18,166,3,1,0,2,6,NYJ,9.5,87.4,1.6,0.5,0.0,1.1,187,1
2557996,Kevin King,CB,155,19,22,48,46,19,1,6,GB,12.3,14.2,31.0,29.7,12.3,0.6,89,65
2558005,Jayon Brown,ILB,468,79,8,269,11,14,87,16,TEN,16.9,1.7,57.5,2.4,3.0,18.6,356,25
2558009,Budda Baker,FS,441,67,32,145,60,92,45,14,ARI,15.2,7.3,32.9,13.6,20.9,10.2,244,152
2558033,Ben Gedeon,OLB,89,16,3,61,4,2,3,13,MIN,18.0,3.4,68.5,4.5,2.2,3.4,80,6
